No.	,申請番号（まとめ）,申請区分,回答LIB,作成VOL,使用システム,ライブラリ種類,容量（TRK数）,メンバー数,DIR,RECFM,LRECL,BLKSIZE
1,146468-1,新規,T.T8P,TSOVLH,SYT,COPY,30,30,6,FB,80,3120
2,146468-2,新規,T.T8P,TSOVLH,SYT,JCL,500,1000,200,FB,80,3120
3,146468-3,新規,T.T8P,TSOVLH,SYT,LOAD,1000,300,60,U,0,19069
4,146468-4,新規,T.T8P,TSOVLH,SYT,MACRO,50,10,2,FB,80,3120
5,146468-5,新規,T.T8P,TSOVLH,SYT,SRC,500,300,60,FB,80,3120
6,146468-6,新規,T.T8P,TSOVLH,SYT,SYSIN,1,1,1,FB,80,3120
1,146469-1,新規,T.G35,TSO612,SYX,COPY,30,30,6,FB,80,3120
2,146469-2,新規,T.G35,TSO612,SYX,JCL,500,1000,200,FB,80,3120
3,146469-3,新規,T.G35,TSO612,SYX,LOAD,1000,300,60,U,0,19069
4,146469-4,新規,T.G35,TSO612,SYX,MACRO,50,50,10,FB,80,3120
5,146469-5,新規,T.G35,TSO612,SYX,SRC,500,300,60,FB,80,3120
6,146469-6,新規,T.G35,TSO612,SYX,SYSIN,1,1,1,FB,80,3120
1,146470-1,新規,T.T8A,TSOVLH,SYT,COPY,30,30,6,FB,80,3120
2,146470-2,新規,T.T8A,TSOVLH,SYT,JCL,500,1000,200,FB,80,3120
3,146470-3,新規,T.T8A,TSOVLH,SYT,LOAD,1000,300,60,U,0,19069
4,146470-4,新規,T.T8A,TSOVLH,SYT,MACRO,50,10,2,FB,80,3120
5,146470-5,新規,T.T8A,TSOVLH,SYT,SRC,500,300,60,FB,80,3120
6,146470-6,新規,T.T8A,TSOVLH,SYT,SYSIN,1,1,1,FB	80,3120
1,146471-1,新規,T.X35,TSO612,SYX,COPY,30,30,6,FB,80,3120
2,146471-2,新規,T.X35,TSO612,SYX,JCL,500,1000,200,FB,80,3120
3,146471-3,新規,T.X35,TSO612,SYX,LOAD,1000,300,60,U,0,19069
4,146471-4,新規,T.X35,TSO612,SYX,MACRO,50,50,10,FB,80,3120
5,146471-5,新規,T.X35,TSO612,SYX,SRC,500,300,60,FB,80,3120
6,146471-6,新規,T.X35,TSO612,SYX,SYSIN,1,1,1,FB,80,3120
